iter	Passed	Remaining
404	5195	7633
405	5205	7616
406	5216	7599
407	5225	7582
408	5234	7563
409	5242	7544
410	5252	7527
411	5269	7520
412	5285	7512
413	5297	7498
414	5308	7483
415	5317	7465
416	5326	7447
417	5336	7429
418	5346	7413
419	5354	7394
420	5368	7383
421	5384	7375
422	5402	7369
423	5441	7391
424	5471	7401
425	5487	7393
426	5499	7379
427	5520	7377
428	5537	7370
429	5552	7360
430	5569	7352
431	5586	7345
432	5605	7340
433	5642	7358
434	5662	7354
435	5683	7352
436	5736	7390
437	5865	7526
438	5935	7584
439	5981	7613
440	6063	7685
441	6091	7690
442	6112	7685
443	6148	7699
444	6172	7698
445	6190	7689
446	6209	7682
447	6225	7670
448	6255	7676
449	6301	7701
450	6328	7703
451	6354	7704
452	6378	7701
453	6398	7694
454	6417	7687
455	6439	7682
456	6477	7695
457	6499	7691
458	6520	7685
459	6536	7673
460	6561	7671
461	6605	7691
462	6652	7716
463	6691	7729
464	6716	7727
465	6736	7719
466	6766	7723
467	6780	7707
468	6805	7705
469	6819	7689
470	6844	7687
471	6858	7672
472	6878	7663
473	6896	7652
474	6914	7642
475	6960	7662
476	6987	7660
477	7006	7651
478	7024	7640
479	7042	7629
480	7059	7616
481	7075	7603
482	7121	7622
483	7153	7626
484	7175	7619
485	7186	7600
486	7242	7628
487	7265	7623
488	7276	7603
489	7285	7583
490	7294	7562
491	7306	7544
492	7315	7523
493	7324	7502
494	7329	7477
495	7338	7456
496	7346	7435
497	7356	7415
498	7364	7394
499	7373	7373
500	7384	7355
501	7393	7334
502	7403	7315
503	7414	7296
504	7423	7276
505	7432	7255
506	7440	7235
507	7451	7217
508	7461	7197
509	7472	7179
510	7481	7159
511	7491	7140
512	7500	7120
513	7511	7102
514	7522	7084
515	7533	7066
516	7543	7047
517	7553	7028
518	7567	7013
519	7577	6994
520	7587	6976
521	7596	6956
522	7607	6938
523	7617	6919
524	7626	6900
525	7637	6882
526	7648	6864
527	7658	6846
528	7666	6826
529	7676	6807
530	7685	6788
531	7695	6769
532	7705	6751
533	7713	6731
534	7718	6708
535	7727	6689
536	7736	6670
537	7743	6649
538	7752	6630
539	7761	6611
540	7769	6591
541	7778	6573
542	7787	6553
543	7795	6534
544	7803	6515
545	7812	6496
546	7822	6478
547	7832	6459
548	7841	6441
549	7850	6423
550	7860	6405
551	7869	6386
552	7879	6369
553	7889	6351
554	7897	6332
555	7907	6314
556	7917	6297
557	7928	6280
558	7938	6262
559	7949	6246
560	7959	6228
561	7969	6210
562	7979	6193
563	7988	6175
564	7998	6157
565	8008	6140
566	8018	6123
567	8028	6106
568	8037	6087
569	8046	6070
570	8055	6052
571	8065	6034
572	8075	6018
573	8085	6000
574	8094	5982
575	8104	5965
576	8112	5947
577	8127	5933
578	8135	5915
579	8144	5897
580	8154	5881
581	8163	5863
582	8168	5842
583	8179	5826
584	8192	5812
585	8202	5795
586	8211	5777
587	8227	5764
588	8238	5749
589	8247	5731
590	8251	5710
591	8260	5692
592	8275	5679
593	8292	5667
594	8301	5650
595	8312	5634
596	8322	5617
597	8330	5600
598	8340	5583
599	8348	5565
600	8365	5553
601	8382	5541
602	8399	5529
603	8416	5517
604	8437	5508
605	8455	5497
606	8466	5481
607	8476	5465
608	8481	5445
609	8491	5428
610	8500	5412
611	8508	5394
612	8521	5380
613	8536	5366
614	8551	5353
615	8567	5340
616	8582	5327
617	8596	5313
618	8608	5298
619	8617	5281
620	8626	5264
621	8634	5247
622	8645	5231
623	8654	5214
624	8662	5197
625	8670	5180
626	8681	5164
627	8689	5147
628	8697	5129
629	8706	5113
630	8715	5096
631	8724	5080
632	8734	5064
633	8743	5047
634	8751	5030
635	8759	5013
636	8771	4998
637	8780	4981
638	8789	4965
639	8798	4949
640	8807	4932
641	8816	4916
642	8824	4899
643	8833	4883
644	8842	4866
645	8851	4850
646	8860	4834
647	8864	4815
648	8872	4798
649	8881	4782
650	8890	4766
651	8899	4750
652	8907	4733
653	8916	4717
654	8920	4698
655	8929	4682
656	8938	4666
657	8942	4647
658	8950	4631
659	8959	4615
660	8967	4599
661	8976	4582
662	8984	4566
663	8993	4550
664	9001	4534
665	9010	4518
666	9019	4502
667	9028	4486
668	9036	4470
669	9044	4454
670	9052	4438
671	9061	4423
672	9070	4407
673	9078	4391
674	9087	4375
675	9095	4359
676	9105	4344
677	9114	4328
678	9123	4312
679	9131	4297
680	9140	4281
681	9149	4266
682	9157	4250
683	9166	4234
684	9176	4219
685	9184	4203
686	9193	4188
687	9201	4172
688	9210	4157
689	9219	4141
690	9226	4126
691	9235	4110
692	9243	4095
693	9252	4079
694	9260	4063
695	9269	4048
696	9278	4033
697	9286	4018
698	9295	4002
699	9303	3987
700	9312	3971
701	9320	3956
702	9328	3941
703	9336	3925
704	9352	3913
705	9360	3898
706	9368	3882
707	9378	3868
708	9389	3853
709	9398	3838
710	9407	3824
711	9411	3807
712	9421	3792
713	9430	3777
714	9439	3762
715	9447	3747
716	9456	3732
717	9464	3717
718	9473	3702
719	9482	3687
720	9490	3672
721	9499	3657
722	9508	3643
723	9517	3628
724	9525	3613
725	9534	3598
726	9543	3583
727	9552	3569
728	9562	3554
729	9570	3539
730	9579	3525
731	9588	3510
732	9592	3494
733	9601	3479
734	9610	3465
735	9619	3450
736	9628	3435
737	9637	3421
738	9646	3406
739	9654	3391
740	9664	3377
741	9673	3363
742	9682	3349
743	9690	3334
744	9699	3319
745	9708	3305
746	9716	3290
747	9725	3276
748	9734	3262
749	9743	3247
750	9752	3233
751	9760	3218
752	9769	3204
753	9778	3190
754	9793	3178
755	9802	3163
756	9812	3149
757	9821	3135
758	9829	3121
759	9839	3107
760	9848	3092
761	9856	3078
762	9865	3064
763	9873	3050
764	9883	3036
765	9892	3021
766	9900	3007
767	9909	2993
768	9917	2979
769	9926	2965
770	9934	2950
771	9942	2936
772	9950	2922
773	9958	2907
774	9967	2893
775	9975	2879
776	9984	2865
777	9993	2851
778	10002	2837
779	10010	2823
780	10019	2809
781	10027	2795
782	10035	2781
783	10044	2767
784	10052	2753
785	10061	2739
786	10069	2725
787	10079	2711
788	10087	2697
789	10096	2683
790	10106	2670
791	10113	2656
792	10121	2642
793	10130	2628
794	10138	2614
795	10147	2600
796	10157	2587
797	10166	2573
798	10175	2559
799	10185	2546
800	10194	2532
801	10202	2518
802	10210	2504
803	10219	2491
804	10228	2477
805	10236	2463
806	10245	2450
807	10253	2436
808	10262	2422
809	10270	2409
810	10279	2395
811	10288	2382
812	10297	2368
813	10305	2354
814	10313	2341
815	10322	2327
816	10330	2313
817	10338	2300
818	10347	2286
819	10355	2273
820	10364	2259
821	10375	2246
822	10383	2233
823	10391	2219
824	10402	2206
825	10411	2193
826	10427	2181
827	10442	2169
828	10458	2157
829	10473	2145
830	10490	2133
831	10510	2122
832	10531	2111
833	10548	2099
834	10565	2087
835	10581	2075
836	10594	2063
837	10610	2051
838	10626	2039
839	10641	2027
840	10654	2014
841	10663	2000
842	10671	1987
843	10680	1974
844	10689	1960
845	10697	1947
846	10706	1933
847	10715	1920
848	10723	1907
849	10732	1894
850	10740	1880
851	10749	1867
852	10758	1854
853	10766	1840
854	10777	1827
855	10784	1814
856	10792	1800
857	10801	1787
858	10810	1774
859	10818	1761
860	10826	1747
861	10837	1735
862	10846	1721
863	10855	1708
864	10864	1695
865	10872	1682
866	10880	1669
867	10890	1656
868	10899	1643
869	10908	1630
870	10917	1616
871	10925	1603
872	10934	1590
873	10947	1578
